"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2016","1,034.40","1,039.25","1,043.75","1,026.95","","-0.50%"
"09/14/2016","1,039.60","1,039.70","1,048.85","1,034.95","","-0.02%"
"09/13/2016","1,039.85","1,059.85","1,065.75","1,032.05","","-1.91%"
"09/12/2016","1,060.05","1,067.35","1,067.35","1,039.50","","-0.69%"
"09/11/2016","1,067.45","1,066.05","1,069.60","1,065.55","","0.25%"
"09/09/2016","1,064.80","1,088.30","1,093.00","1,064.40","","-2.15%"
"09/08/2016","1,088.25","1,092.30","1,100.55","1,083.40","","-0.38%"
"09/07/2016","1,092.45","1,102.35","1,110.30","1,090.70","","-0.88%"
"09/06/2016","1,102.20","1,073.75","1,106.85","1,073.75","","2.58%"
"09/05/2016","1,074.45","1,065.05","1,078.85","1,065.00","","0.89%"
"09/04/2016","1,064.95","1,066.30","1,069.05","1,064.80","","-0.14%"
"09/02/2016","1,066.40","1,052.25","1,069.65","1,048.10","","1.35%"
"09/01/2016","1,052.20","1,056.00","1,059.30","1,043.30","","-0.36%"
"08/31/2016","1,055.95","1,060.85","1,067.50","1,051.50","","-0.46%"
"08/30/2016","1,060.80","1,083.45","1,083.80","1,055.60","","-2.08%"
"08/29/2016","1,083.30","1,074.60","1,085.35","1,070.65","","0.78%"
"08/28/2016","1,074.90","1,074.70","1,075.25","1,073.10","","-0.12%"
"08/26/2016","1,076.15","1,077.40","1,093.85","1,065.95","","-0.09%"
"08/25/2016","1,077.15","1,084.00","1,088.25","1,075.80","","-0.67%"
"08/24/2016","1,084.40","1,109.90","1,114.85","1,079.25","","-2.32%"
"08/23/2016","1,110.10","1,107.05","1,116.30","1,103.60","","0.25%"
"08/22/2016","1,107.35","1,112.40","1,119.35","1,101.90","","-0.46%"
"08/21/2016","1,112.45","1,116.95","1,117.40","1,108.30","","-0.56%"
"08/19/2016","1,118.75","1,131.55","1,131.55","1,111.85","","-1.12%"
"08/18/2016","1,131.40","1,129.05","1,138.25","1,125.25","","0.19%"
"08/17/2016","1,129.20","1,126.35","1,130.90","1,106.40","","0.25%"
"08/16/2016","1,126.35","1,118.30","1,144.25","1,117.20","","0.72%"
"08/15/2016","1,118.35","1,132.40","1,135.55","1,114.25","","-1.31%"
"08/14/2016","1,133.25","1,128.00","1,135.40","1,127.40","","0.42%"
"08/12/2016","1,128.55","1,153.25","1,157.30","1,125.40","","-2.17%"
"08/11/2016","1,153.55","1,181.65","1,184.80","1,143.55","","-2.38%"
"08/10/2016","1,181.70","1,160.50","1,199.45","1,160.35","","1.80%"
"08/09/2016","1,160.85","1,155.05","1,163.90","1,146.20","","0.51%"
"08/08/2016","1,154.95","1,148.65","1,159.85","1,146.70","","0.53%"
"08/07/2016","1,148.85","1,150.70","1,150.70","1,145.65","","-0.15%"
"08/05/2016","1,150.60","1,162.55","1,170.70","1,142.55","","-0.94%"
"08/04/2016","1,161.55","1,168.10","1,169.55","1,156.20","","-0.56%"
"08/03/2016","1,168.15","1,169.20","1,174.05","1,160.60","","-0.18%"
"08/02/2016","1,170.25","1,163.15","1,183.00","1,159.35","","0.63%"
"08/01/2016","1,162.95","1,152.40","1,167.75","1,149.85","","0.87%"
"07/31/2016","1,152.90","1,153.50","1,156.60","1,152.25","","-0.07%"
"07/29/2016","1,153.65","1,139.15","1,163.60","1,132.40","","1.35%"
"07/28/2016","1,138.25","1,140.55","1,160.30","1,137.35","","-0.07%"
"07/27/2016","1,139.10","1,097.50","1,144.50","1,093.75","","3.82%"
"07/26/2016","1,097.15","1,087.90","1,100.75","1,086.00","","0.84%"
"07/25/2016","1,088.00","1,085.75","1,094.70","1,072.60","","0.26%"
