"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2015","26.05","25.80","26.35","25.45","859.59K","0.39%"
"03/03/2015","25.95","27.00","27.70","25.80","1.25M","-3.35%"
"03/02/2015","26.85","26.15","27.65","25.95","1.81M","-7.41%"
"02/27/2015","29.00","27.75","29.00","27.75","1.42M","4.88%"
"02/26/2015","27.65","27.85","28.10","27.00","1.24M","1.65%"
"02/25/2015","27.20","27.50","28.45","26.80","1.58M","3.42%"
"02/24/2015","26.30","26.15","26.45","25.55","928.87K","-0.75%"
"02/23/2015","26.50","25.50","26.70","25.35","922.14K","2.71%"
"02/20/2015","25.80","25.60","26.85","25.50","1.12M","2.79%"
"02/19/2015","25.10","26.30","26.35","24.90","1.16M","-4.56%"
"02/18/2015","26.30","24.90","26.40","24.40","1.34M","5.41%"
"02/17/2015","24.95","24.40","25.25","24.10","881.80K","1.01%"
"02/13/2015","24.70","24.50","25.55","24.50","655.55K","2.07%"
"02/12/2015","24.20","24.50","24.50","23.75","616.84K","1.26%"
"02/11/2015","23.90","24.45","24.75","23.45","1.06M","-1.85%"
"02/10/2015","24.35","24.50","24.60","23.35","1.21M","-4.70%"
"02/09/2015","25.55","25.35","26.35","25.25","934.71K","1.19%"
"02/06/2015","25.25","25.45","26.40","25.10","1.42M","-4.90%"
"02/05/2015","26.55","25.05","27.00","24.95","1.08M","4.94%"
"02/04/2015","25.30","25.10","25.50","24.85","1.20M","1.81%"
"02/03/2015","24.85","25.70","25.80","24.65","1.32M","-4.05%"
"02/02/2015","25.90","24.10","26.15","24.00","3.17M","8.37%"
"01/30/2015","23.90","25.95","26.20","21.45","6.63M","-14.18%"
"01/29/2015","27.85","27.05","28.20","26.75","1.40M","-0.71%"
"01/28/2015","28.05","29.00","29.35","27.85","1.44M","-5.71%"
"01/27/2015","29.75","29.15","29.85","28.55","1.85M","4.75%"
"01/26/2015","28.40","27.85","28.45","27.05","1.58M","0.18%"
"01/23/2015","28.35","31.20","31.20","28.25","2.37M","-9.86%"
"01/22/2015","31.45","31.50","31.95","30.40","1.90M","1.29%"
"01/21/2015","31.05","33.35","34.00","30.05","6.02M","-20.18%"
"01/20/2015","38.90","38.05","39.98","37.85","1.61M","5.28%"
