"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2016","720.95","718.50","721.95","712.70","0.01K","0.69%"
"09/28/2016","716.00","705.70","716.45","705.70","0.01K","1.90%"
"09/27/2016","702.65","699.80","703.50","695.20","0.02K","0.72%"
"09/26/2016","697.65","702.45","702.45","694.15","0.04K","-1.45%"
"09/23/2016","707.90","695.85","705.80","692.90","0.03K","0.81%"
"09/22/2016","702.20","696.00","702.00","693.00","0.02K","2.40%"
"09/21/2016","685.75","687.95","695.00","681.05","0.08K","0.07%"
"09/20/2016","685.30","686.60","692.95","682.25","0.07K","-0.40%"
"09/19/2016","688.05","683.40","695.20","683.40","0.02K","2.08%"
"09/16/2016","674.05","657.00","677.00","657.00","0.13K","2.38%"
"09/15/2016","658.35","656.05","662.10","654.80","0.04K","0.03%"
"09/14/2016","658.15","659.00","661.50","658.50","0.02K","0.03%"
"09/13/2016","657.95","664.15","664.45","658.90","0.01K","-0.09%"
"09/12/2016","658.55","677.40","677.40","657.90","0.08K","-3.33%"
"09/09/2016","681.20","688.55","688.55","676.30","0.05K","-1.18%"
"09/08/2016","689.30","694.80","697.35","686.40","0.03K","-0.04%"
"09/07/2016","689.55","701.00","703.50","692.95","0.03K","-1.80%"
"09/06/2016","702.20","679.90","702.35","679.90","0.03K","3.32%"
"09/05/2016","679.65","677.03","682.23","675.65","","0.44%"
"09/04/2016","676.70","679.73","679.73","676.70","","0.28%"
"09/02/2016","674.80","674.70","674.70","669.00","0.00K","1.76%"
"09/01/2016","663.10","675.00","675.00","665.45","0.02K","-1.22%"
"08/31/2016","671.30","675.60","675.95","672.00","0.02K","-1.49%"
"08/30/2016","681.45","693.70","694.15","693.70","0.01K","-2.78%"
"08/29/2016","700.95","692.60","693.35","688.70","0.01K","0.79%"
"08/26/2016","695.45","694.75","696.95","692.70","0.03K","0.97%"
"08/25/2016","688.80","688.10","688.70","688.10","0.00K","0.17%"
"08/24/2016","687.65","689.85","689.85","689.85","0.02K","-2.14%"
"08/23/2016","702.70","701.35","701.35","701.35","0.00K","1.53%"
"08/22/2016","692.08","708.10","711.28","690.83","","-2.26%"
"08/21/2016","708.05","709.55","709.83","706.30","","-0.61%"
"08/19/2016","712.40","712.00","713.00","712.00","0.01K","-0.48%"
"08/18/2016","715.85","715.55","719.55","715.55","0.01K","3.19%"
"08/17/2016","693.75","696.50","696.50","693.35","0.01K","-1.91%"
"08/16/2016","707.25","699.80","704.80","699.65","0.02K","1.80%"
"08/15/2016","694.75","688.40","691.40","688.40","0.00K","0.22%"
"08/12/2016","693.20","695.95","698.30","695.95","0.04K","-0.03%"
"08/11/2016","693.40","725.72","727.70","687.80","","-4.91%"
"08/10/2016","729.20","734.05","735.65","734.05","0.00K","4.67%"
"08/09/2016","696.65","697.15","697.20","696.20","0.01K","0.89%"
"08/08/2016","690.50","696.12","699.75","689.20","","-0.80%"
"08/07/2016","696.10","696.92","696.92","694.40","","-0.11%"
"08/05/2016","696.90","704.45","707.85","691.83","","-1.11%"
"08/04/2016","704.75","713.05","714.65","699.35","","-1.16%"
"08/03/2016","713.03","712.95","717.62","705.27","","-0.04%"
"08/02/2016","713.35","718.42","724.50","713.15","","-0.69%"
"08/01/2016","718.33","710.92","724.25","707.35","","1.03%"
"07/31/2016","711.00","712.88","714.00","711.00","","-0.05%"
"07/29/2016","711.35","697.90","715.65","692.65","","1.98%"
"07/28/2016","697.52","700.55","709.73","696.73","","-1.17%"
"07/27/2016","705.80","690.05","690.05","690.05","0.00K","2.35%"
"07/26/2016","689.60","687.33","695.85","682.72","","0.34%"
"07/25/2016","687.25","684.48","689.45","675.75","","0.47%"
"07/24/2016","684.02","685.90","685.90","681.65","","-0.24%"
"07/22/2016","685.67","686.08","688.83","680.90","","-0.22%"
"07/21/2016","687.20","670.90","670.90","670.85","0.00K","2.29%"
"07/20/2016","671.80","656.92","676.90","648.67","","2.19%"
"07/19/2016","657.42","646.00","659.25","641.55","","1.75%"
"07/18/2016","646.12","646.98","648.88","632.83","","-0.13%"
"07/17/2016","646.95","647.40","648.78","646.77","","-0.63%"
"07/15/2016","651.02","649.97","653.95","641.70","","0.16%"
"07/14/2016","650.00","646.67","652.83","636.58","","0.51%"
"07/13/2016","646.70","627.23","648.65","623.90","","3.08%"
"07/12/2016","627.40","624.35","631.33","614.95","","0.48%"
"07/11/2016","624.42","619.55","627.03","615.45","","0.79%"
"07/10/2016","619.52","619.05","621.45","617.97","","0.16%"
"07/08/2016","618.50","610.20","620.12","600.58","","1.33%"
"07/07/2016","610.38","607.83","613.17","600.92","","0.41%"
