"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2017","2,500.60","2,507.20","2,507.20","2,499.00","","-0.30%"
"09/20/2017","2,508.20","2,506.80","2,508.80","2,496.70","","0.06%"
"09/19/2017","2,506.70","2,506.30","2,507.80","2,503.20","","0.11%"
"09/18/2017","2,503.90","2,502.50","2,508.30","2,499.90","","0.15%"
"09/15/2017","2,500.20","2,495.70","2,500.20","2,493.20","","0.18%"
"09/14/2017","2,495.60","2,494.60","2,498.40","2,491.30","","-0.11%"
"09/13/2017","2,498.40","2,493.90","2,498.40","2,492.10","","0.08%"
"09/12/2017","2,496.50","2,491.90","2,496.80","2,490.40","","0.34%"
"09/11/2017","2,488.10","2,474.50","2,488.90","2,474.50","","1.08%"
"09/08/2017","2,461.40","2,462.20","2,467.10","2,459.40","","-0.15%"
"09/07/2017","2,465.10","2,468.10","2,468.60","2,460.30","","-0.02%"
"09/06/2017","2,465.50","2,463.80","2,469.60","2,459.20","","0.31%"
"09/05/2017","2,457.80","2,470.30","2,472.00","2,446.60","","-0.76%"
"09/01/2017","2,476.60","2,474.40","2,480.40","2,473.80","","0.20%"
"08/31/2017","2,471.70","2,462.70","2,475.00","2,462.70","","0.57%"
"08/30/2017","2,457.60","2,446.10","2,460.30","2,443.80","","0.46%"
"08/29/2017","2,446.30","2,431.90","2,449.20","2,428.20","","0.09%"
"08/28/2017","2,444.20","2,447.30","2,449.10","2,439.00","","0.05%"
"08/25/2017","2,443.10","2,444.70","2,454.00","2,442.20","","0.17%"
"08/24/2017","2,439.00","2,447.90","2,450.40","2,436.20","","-0.20%"
"08/23/2017","2,444.00","2,444.90","2,448.90","2,441.40","","-0.35%"
"08/22/2017","2,452.50","2,433.80","2,454.80","2,433.70","","0.99%"
"08/21/2017","2,428.40","2,425.50","2,430.60","2,417.30","","0.12%"
"08/18/2017","2,425.60","2,427.60","2,440.30","2,420.70","","-0.18%"
"08/17/2017","2,430.00","2,462.90","2,465.00","2,430.00","","-1.54%"
"08/16/2017","2,468.10","2,468.60","2,474.90","2,463.90","","0.14%"
"08/15/2017","2,464.60","2,468.70","2,468.90","2,461.60","","-0.05%"
"08/14/2017","2,465.80","2,455.00","2,468.20","2,455.00","","1.00%"
"08/11/2017","2,441.30","2,441.00","2,448.10","2,437.80","","0.13%"
"08/10/2017","2,438.20","2,465.40","2,465.40","2,437.80","","-1.45%"
"08/09/2017","2,474.00","2,465.30","2,474.40","2,462.10","","-0.04%"
"08/08/2017","2,474.90","2,478.30","2,490.90","2,470.30","","-0.24%"
"08/07/2017","2,480.90","2,477.10","2,480.90","2,475.90","","0.17%"
"08/04/2017","2,476.80","2,476.90","2,480.00","2,472.10","","0.19%"
"08/03/2017","2,472.20","2,476.00","2,476.00","2,468.80","","-0.22%"
"08/02/2017","2,477.60","2,480.40","2,480.40","2,466.50","","0.05%"
"08/01/2017","2,476.30","2,477.10","2,478.50","2,471.10","","0.24%"
"07/31/2017","2,470.30","2,475.90","2,478.00","2,468.50","","-0.07%"
"07/28/2017","2,472.10","2,469.10","2,473.50","2,464.70","","-0.13%"
"07/27/2017","2,475.40","2,482.80","2,484.00","2,459.90","","-0.10%"
"07/26/2017","2,477.80","2,480.00","2,481.70","2,474.90","","0.03%"
"07/25/2017","2,477.10","2,477.90","2,481.20","2,474.90","","0.29%"
"07/24/2017","2,469.90","2,472.00","2,473.10","2,466.30","","-0.11%"
"07/21/2017","2,472.50","2,467.40","2,472.50","2,465.10","","-0.04%"
"07/20/2017","2,473.40","2,475.60","2,477.60","2,468.40","","-0.02%"
"07/19/2017","2,473.80","2,463.80","2,473.80","2,463.80","","0.54%"
"07/18/2017","2,460.60","2,455.90","2,460.90","2,450.30","","0.06%"
"07/17/2017","2,459.10","2,459.50","2,462.80","2,457.20","","-0.01%"
"07/14/2017","2,459.30","2,449.20","2,463.50","2,446.70","","0.47%"
"07/13/2017","2,447.80","2,445.00","2,449.30","2,441.70","","0.19%"
"07/12/2017","2,443.20","2,435.80","2,445.80","2,435.80","","0.73%"
